도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
갈매로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,1284,6001
갈매로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,56,56
갈매로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,2,1
갈매로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,680,3118
갈매로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,58,58
갈매로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,1,1
당산로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,4588
당산로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,56
당산로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,3
당산로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,2166
당산로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,57
당산로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,3
산학리길,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,794
산학리길,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,62
산학리길,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
산학리길,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,1609
산학리길,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,62
산학리길,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
새내로,상행,차로당도로교통량,2016년,7427,8052,7943,7219,6046,10713,9116,7450,8375,7362,7615,7198
새내로,상행,평균통행속도,2016년,12,12,20,36,37,35,35,36,35,36,33,33
새내로,상행,점유율,2016년,2,2,5,9,10,11,11,10,10,10,10,9
새내로,하행,차로당도로교통량,2016년,2945,3064,2823,2249,1969,3302,2910,2551,2530,2204,2400,2280
새내로,하행,평균통행속도,2016년,13,14,19,32,32,31,30,32,33,36,32,35
새내로,하행,점유율,2016년,2,2,4,9,9,9,11,8,9,7,9,8
시목부강로,상행,차로당도로교통량,2016년,8054,7888,6971,6722,5511,9363,7382,6940,7386,3638,6171,5961
시목부강로,상행,평균통행속도,2016년,31,30,40,55,54,53,52,53,53,54,54,54
시목부강로,상행,점유율,2016년,3,3,4,5,5,6,6,5,5,5,5,4
시목부강로,하행,차로당도로교통량,2016년,5739,5948,5185,5007,4292,7587,5857,5656,6200,3019,5427,5065
시목부강로,하행,평균통행속도,2016년,17,17,30,53,52,51,50,50,49,50,51,49
시목부강로,하행,점유율,2016년,1,1,2,3,3,3,3,3,3,3,3,3
연청로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,3448
연청로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,84
연청로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
연청로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,1596
연청로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,83
연청로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
용연로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,395
용연로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,55
용연로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
용연로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,721
용연로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,61
용연로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
일반국도1호선,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,18241
일반국도1호선,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,78
일반국도1호선,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,5
일반국도1호선,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,4656
일반국도1호선,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,87
일반국도1호선,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
일반국도36호선,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,6462,31439
일반국도36호선,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,61,62
일반국도36호선,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,5,4
