도로,방향,월자,연도,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
갈매로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,1356,8045
갈매로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,50,52
갈매로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,2,2
갈매로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,623,3964
갈매로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,54,57
갈매로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,1,1
당산로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,6899
당산로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,55
당산로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,4
당산로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,3118
당산로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,54
당산로,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,3
산학리길,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,1657
산학리길,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,60
산학리길,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
산학리길,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,2191
산학리길,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,63
산학리길,하행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
새내로,상행,차로당도로교통량,2016년,16413,17491,14223,11251,9880,15529,14012,12146,13033,11595,9534,10932
새내로,상행,평균통행속도,2016년,16,17,24,35,35,35,35,34,34,34,32,30
새내로,상행,점유율,2016년,5,5,8,13,12,12,12,13,13,11,10,11
새내로,하행,차로당도로교통량,2016년,8004,8311,6053,4412,3865,6131,5935,5118,5338,4607,4203,4840
새내로,하행,평균통행속도,2016년,18,18,19,23,23,23,25,24,24,28,28,28
새내로,하행,점유율,2016년,5,5,8,14,13,12,12,13,12,10,10,11
시목부강로,상행,차로당도로교통량,2016년,4061,4220,2956,2737,2631,3568,2867,2812,3114,1562,2361,2526
시목부강로,상행,평균통행속도,2016년,23,24,33,53,52,52,52,52,53,53,53,53
시목부강로,상행,점유율,2016년,2,2,3,5,5,5,5,5,4,4,3,3
시목부강로,하행,차로당도로교통량,2016년,16814,16699,14859,13484,10810,18148,14903,14106,15479,7408,11288,11615
시목부강로,하행,평균통행속도,2016년,34,35,41,52,50,50,49,49,50,49,49,49
시목부강로,하행,점유율,2016년,3,3,4,5,5,5,5,5,5,4,4,4
연청로,상행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,5007
연청로,상행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,83
연청로,상행,점유율,2016년,0,0,0,0,0,0,0,0,0,0,0,2
연청로,하행,차로당도로교통량,2016년,0,0,0,0,0,0,0,0,0,0,0,2534
연청로,하행,평균통행속도,2016년,0,0,0,0,0,0,0,0,0,0,0,81
